"Year","Field","Value","Unit"
"1994","aviation gasoline consumed by the transportation sector Tennessee","1979","billion btu"
"1995","aviation gasoline consumed by the transportation sector Tennessee","2005","billion btu"
"1996","aviation gasoline consumed by the transportation sector Tennessee","1165","billion btu"
"1997","aviation gasoline consumed by the transportation sector Tennessee","1576","billion btu"
"1998","aviation gasoline consumed by the transportation sector Tennessee","686","billion btu"
"1999","aviation gasoline consumed by the transportation sector Tennessee","552","billion btu"
"2008","aviation gasoline consumed by the transportation sector United States","28284","billion btu"
"2009","aviation gasoline consumed by the transportation sector United States","26558","billion btu"
"2010","aviation gasoline consumed by the transportation sector United States","27047","billion btu"
"2013","aviation gasoline consumed by the transportation sector United States","22358","billion btu"
"2013","aviation gasoline consumed by the transportation sector Tennessee","316","billion btu"
"2010","aviation gasoline consumed by the transportation sector Tennessee","846","billion btu"
"2016","aviation gasoline consumed by the transportation sector Tennessee","369","billion btu"
"2016","aviation gasoline consumed by the transportation sector United States","20465","billion btu"
"2018","aviation gasoline consumed by the transportation sector Tennessee","420","billion btu"
"2014","aviation gasoline consumed by the transportation sector United States","21696","billion btu"
"2014","aviation gasoline consumed by the transportation sector Tennessee","314","billion btu"
"2015","aviation gasoline consumed by the transportation sector United States","21141","billion btu"
"2015","aviation gasoline consumed by the transportation sector Tennessee","354","billion btu"
"2011","aviation gasoline consumed by the transportation sector Tennessee","575","billion btu"
"2011","aviation gasoline consumed by the transportation sector United States","27057","billion btu"
"2012","aviation gasoline consumed by the transportation sector United States","25114","billion btu"
"2012","aviation gasoline consumed by the transportation sector Tennessee","345","billion btu"
"2020","aviation gasoline consumed by the transportation sector Tennessee","436","billion btu"
"2020","aviation gasoline consumed by the transportation sector United States","20202","billion btu"
"2019","aviation gasoline consumed by the transportation sector Tennessee","473","billion btu"
"2019","aviation gasoline consumed by the transportation sector United States","23387","billion btu"
"1964","biodiesel consumed by the transportation sector Tennessee","0","billion btu"
"1983","biodiesel consumed by the transportation sector Tennessee","0","billion btu"
"1988","biodiesel consumed by the transportation sector Tennessee","0","billion btu"
"1998","biodiesel consumed by the transportation sector Tennessee","0","billion btu"
"1986","biodiesel consumed by the transportation sector Tennessee","0","billion btu"
"1967","biodiesel consumed by the transportation sector United States","0","billion btu"
"1995","biodiesel consumed by the transportation sector Tennessee","0","billion btu"
"1964","biodiesel consumed by the transportation sector United States","0","billion btu"
"1997","biodiesel consumed by the transportation sector Tennessee","0","billion btu"
"1965","biodiesel consumed by the transportation sector United States","0","billion btu"
"1999","biodiesel consumed by the transportation sector Tennessee","0","billion btu"
"2016","biodiesel consumed by the transportation sector United States","266092","billion btu"
"1975","biodiesel consumed by the transportation sector Tennessee","0","billion btu"
"1967","biodiesel consumed by the transportation sector Tennessee","0","billion btu"
"1993","biodiesel consumed by the transportation sector Tennessee","0","billion btu"
"1963","biodiesel consumed by the transportation sector Tennessee","0","billion btu"
"1962","biodiesel consumed by the transportation sector Tennessee","0","billion btu"
"1974","biodiesel consumed by the transportation sector Tennessee","0","billion btu"
"1993","biodiesel consumed by the transportation sector United States","0","billion btu"
"1961","biodiesel consumed by the transportation sector Tennessee","0","billion btu"
"1981","biodiesel consumed by the transportation sector United States","0","billion btu"
"1991","biodiesel consumed by the transportation sector Tennessee","0","billion btu"
"1991","biodiesel consumed by the transportation sector United States","0","billion btu"
"2008","biodiesel consumed by the transportation sector United States","38732","billion btu"
"1980","biodiesel consumed by the transportation sector United States","0","billion btu"
"1981","biodiesel consumed by the transportation sector Tennessee","0","billion btu"
"2011","biodiesel consumed by the transportation sector United States","113071","billion btu"
"1982","biodiesel consumed by the transportation sector Tennessee","0","billion btu"
"2007","biodiesel consumed by the transportation sector United States","45131","billion btu"
"2001","biodiesel consumed by the transportation sector Tennessee","35","billion btu"
"1970","biodiesel consumed by the transportation sector United States","0","billion btu"
"2008","biodiesel consumed by the transportation sector Tennessee","1036","billion btu"
"2013","biodiesel consumed by the transportation sector United States","182313","billion btu"
"1966","biodiesel consumed by the transportation sector Tennessee","0","billion btu"
"1999","biodiesel consumed by the transportation sector United States","0","billion btu"
"1982","biodiesel consumed by the transportation sector United States","0","billion btu"
"1965","biodiesel consumed by the transportation sector Tennessee","0","billion btu"
"1980","biodiesel consumed by the transportation sector Tennessee","0","billion btu"
"1989","biodiesel consumed by the transportation sector Tennessee","0","billion btu"
"2006","biodiesel consumed by the transportation sector United States","33293","billion btu"
"1960","biodiesel consumed by the transportation sector United States","0","billion btu"
"1973","biodiesel consumed by the transportation sector Tennessee","0","billion btu"
"1977","biodiesel consumed by the transportation sector United States","0","billion btu"
"1969","biodiesel consumed by the transportation sector Tennessee","0","billion btu"
"1987","biodiesel consumed by the transportation sector United States","0","billion btu"
"1973","biodiesel consumed by the transportation sector United States","0","billion btu"
"2009","biodiesel consumed by the transportation sector Tennessee","1098","billion btu"
"2000","biodiesel consumed by the transportation sector Tennessee","0","billion btu"
"1987","biodiesel consumed by the transportation sector Tennessee","0","billion btu"
"2001","biodiesel consumed by the transportation sector United States","1310","billion btu"
"1960","biodiesel consumed by the transportation sector Tennessee","0","billion btu"
"2009","biodiesel consumed by the transportation sector United States","41064","billion btu"
"2016","biodiesel consumed by the transportation sector Tennessee","5485","billion btu"
"2010","biodiesel consumed by the transportation sector United States","33184","billion btu"
"2005","biodiesel consumed by the transportation sector Tennessee","310","billion btu"
"1972","biodiesel consumed by the transportation sector Tennessee","0","billion btu"
"2004","biodiesel consumed by the transportation sector United States","3425","billion btu"
"1969","biodiesel consumed by the transportation sector United States","0","billion btu"
"1975","biodiesel consumed by the transportation sector United States","0","billion btu"
"2002","biodiesel consumed by the transportation sector Tennessee","56","billion btu"
"1971","biodiesel consumed by the transportation sector Tennessee","0","billion btu"
"1978","biodiesel consumed by the transportation sector Tennessee","0","billion btu"
"1979","biodiesel consumed by the transportation sector Tennessee","0","billion btu"
"2006","biodiesel consumed by the transportation sector Tennessee","890","billion btu"
"1996","biodiesel consumed by the transportation sector United States","0","billion btu"
"1983","biodiesel consumed by the transportation sector United States","0","billion btu"
"1972","biodiesel consumed by the transportation sector United States","0","billion btu"
"2015","biodiesel consumed by the transportation sector United States","190648","billion btu"
"1984","biodiesel consumed by the transportation sector United States","0","billion btu"
"1985","biodiesel consumed by the transportation sector United States","0","billion btu"
"1974","biodiesel consumed by the transportation sector United States","0","billion btu"
"2007","biodiesel consumed by the transportation sector Tennessee","1207","billion btu"
"2012","biodiesel consumed by the transportation sector Tennessee","2811","billion btu"
"2000","biodiesel consumed by the transportation sector United States","0","billion btu"
"1992","biodiesel consumed by the transportation sector United States","0","billion btu"
"1995","biodiesel consumed by the transportation sector United States","0","billion btu"
"2015","biodiesel consumed by the transportation sector Tennessee","3797","billion btu"
"1994","biodiesel consumed by the transportation sector Tennessee","0","billion btu"
"2014","biodiesel consumed by the transportation sector United States","180784","billion btu"
"2013","biodiesel consumed by the transportation sector Tennessee","4429","billion btu"
"1994","biodiesel consumed by the transportation sector United States","0","billion btu"
"1962","biodiesel consumed by the transportation sector United States","0","billion btu"
"1977","biodiesel consumed by the transportation sector Tennessee","0","billion btu"
"2003","biodiesel consumed by the transportation sector Tennessee","46","billion btu"
"1988","biodiesel consumed by the transportation sector United States","0","billion btu"
"1996","biodiesel consumed by the transportation sector Tennessee","0","billion btu"
"1970","biodiesel consumed by the transportation sector Tennessee","0","billion btu"
"1966","biodiesel consumed by the transportation sector United States","0","billion btu"
"2018","biodiesel consumed by the transportation sector Tennessee","4511","billion btu"
"1963","biodiesel consumed by the transportation sector United States","0","billion btu"
"2017","biodiesel consumed by the transportation sector Tennessee","4732","billion btu"
"1997","biodiesel consumed by the transportation sector United States","0","billion btu"
"1961","biodiesel consumed by the transportation sector United States","0","billion btu"
"1976","biodiesel consumed by the transportation sector United States","0","billion btu"
"1986","biodiesel consumed by the transportation sector United States","0","billion btu"
"1990","biodiesel consumed by the transportation sector United States","0","billion btu"
"2018","biodiesel consumed by the transportation sector United States","242904","billion btu"
"1968","biodiesel consumed by the transportation sector United States","0","billion btu"
"1971","biodiesel consumed by the transportation sector United States","0","billion btu"
"1985","biodiesel consumed by the transportation sector Tennessee","0","billion btu"
"1992","biodiesel consumed by the transportation sector Tennessee","0","billion btu"
"1984","biodiesel consumed by the transportation sector Tennessee","0","billion btu"
"2017","biodiesel consumed by the transportation sector United States","253312","billion btu"
"2002","biodiesel consumed by the transportation sector United States","2088","billion btu"
"1998","biodiesel consumed by the transportation sector United States","0","billion btu"
"2005","biodiesel consumed by the transportation sector United States","11589","billion btu"
"1978","biodiesel consumed by the transportation sector United States","0","billion btu"
"1990","biodiesel consumed by the transportation sector Tennessee","0","billion btu"
"2004","biodiesel consumed by the transportation sector Tennessee","92","billion btu"
"2003","biodiesel consumed by the transportation sector United States","1724","billion btu"
"1968","biodiesel consumed by the transportation sector Tennessee","0","billion btu"
"1976","biodiesel consumed by the transportation sector Tennessee","0","billion btu"
"2010","biodiesel consumed by the transportation sector Tennessee","887","billion btu"
"1989","biodiesel consumed by the transportation sector United States","0","billion btu"
"1979","biodiesel consumed by the transportation sector United States","0","billion btu"
"2011","biodiesel consumed by the transportation sector Tennessee","3024","billion btu"
"2012","biodiesel consumed by the transportation sector United States","114714","billion btu"
"2014","biodiesel consumed by the transportation sector Tennessee","4293","billion btu"
"2019","biodiesel consumed by the transportation sector Tennessee","3654","billion btu"
"2019","biodiesel consumed by the transportation sector United States","231310","billion btu"
"2020","biodiesel consumed by the transportation sector United States","239412","billion btu"
"2020","biodiesel consumed by the transportation sector Tennessee","4499","billion btu"
"2013","coal consumed by the transportation sector United States","0","billion btu"
"1964","coal consumed by the transportation sector Tennessee","235","billion btu"
"1965","coal consumed by the transportation sector Tennessee","232","billion btu"
"1966","coal consumed by the transportation sector Tennessee","235","billion btu"
"1978","coal consumed by the transportation sector Tennessee","0","billion btu"
"1979","coal consumed by the transportation sector Tennessee","0","billion btu"
"1980","coal consumed by the transportation sector Tennessee","0","billion btu"
"1981","coal consumed by the transportation sector Tennessee","0","billion btu"
"1982","coal consumed by the transportation sector Tennessee","0","billion btu"
"1983","coal consumed by the transportation sector Tennessee","0","billion btu"
"1984","coal consumed by the transportation sector Tennessee","0","billion btu"
"1985","coal consumed by the transportation sector Tennessee","0","billion btu"
"1986","coal consumed by the transportation sector Tennessee","0","billion btu"
"1987","coal consumed by the transportation sector Tennessee","0","billion btu"
"1988","coal consumed by the transportation sector Tennessee","0","billion btu"
"1989","coal consumed by the transportation sector Tennessee","0","billion btu"
"1990","coal consumed by the transportation sector Tennessee","0","billion btu"
"1991","coal consumed by the transportation sector Tennessee","0","billion btu"
"1992","coal consumed by the transportation sector Tennessee","0","billion btu"
"1993","coal consumed by the transportation sector Tennessee","0","billion btu"
"1994","coal consumed by the transportation sector Tennessee","0","billion btu"
"1995","coal consumed by the transportation sector Tennessee","0","billion btu"
"1996","coal consumed by the transportation sector Tennessee","0","billion btu"
"1997","coal consumed by the transportation sector Tennessee","0","billion btu"
"1998","coal consumed by the transportation sector Tennessee","0","billion btu"
"1999","coal consumed by the transportation sector Tennessee","0","billion btu"
"2000","coal consumed by the transportation sector Tennessee","0","billion btu"
"2001","coal consumed by the transportation sector Tennessee","0","billion btu"
"2002","coal consumed by the transportation sector Tennessee","0","billion btu"
"2003","coal consumed by the transportation sector Tennessee","0","billion btu"
"2004","coal consumed by the transportation sector Tennessee","0","billion btu"
"2005","coal consumed by the transportation sector Tennessee","0","billion btu"
"2006","coal consumed by the transportation sector Tennessee","0","billion btu"
"2007","coal consumed by the transportation sector Tennessee","0","billion btu"
"2008","coal consumed by the transportation sector Tennessee","0","billion btu"
"2009","coal consumed by the transportation sector Tennessee","0","billion btu"
"1961","coal consumed by the transportation sector Tennessee","286","billion btu"
"1962","coal consumed by the transportation sector Tennessee","236","billion btu"
"1963","coal consumed by the transportation sector Tennessee","239","billion btu"
"1960","coal consumed by the transportation sector Tennessee","993","billion btu"
"1967","coal consumed by the transportation sector Tennessee","184","billion btu"
"1968","coal consumed by the transportation sector Tennessee","179","billion btu"
"1969","coal consumed by the transportation sector Tennessee","111","billion btu"
"1970","coal consumed by the transportation sector Tennessee","92","billion btu"
"1971","coal consumed by the transportation sector Tennessee","59","billion btu"
"1972","coal consumed by the transportation sector Tennessee","53","billion btu"
"1973","coal consumed by the transportation sector Tennessee","42","billion btu"
"1974","coal consumed by the transportation sector Tennessee","29","billion btu"
"1975","coal consumed by the transportation sector Tennessee","8","billion btu"
"1976","coal consumed by the transportation sector Tennessee","4","billion btu"
"1977","coal consumed by the transportation sector Tennessee","4","billion btu"
"1960","coal consumed by the transportation sector United States","75624","billion btu"
"1961","coal consumed by the transportation sector United States","19096","billion btu"
"1962","coal consumed by the transportation sector United States","17032","billion btu"
"1963","coal consumed by the transportation sector United States","16593","billion btu"
"1964","coal consumed by the transportation sector United States","17586","billion btu"
"1965","coal consumed by the transportation sector United States","16135","billion btu"
"1966","coal consumed by the transportation sector United States","14898","billion btu"
"1967","coal consumed by the transportation sector United States","11351","billion btu"
"1968","coal consumed by the transportation sector United States","10139","billion btu"
"1969","coal consumed by the transportation sector United States","7502","billion btu"
"1970","coal consumed by the transportation sector United States","6917","billion btu"
"1971","coal consumed by the transportation sector United States","4738","billion btu"
"1972","coal consumed by the transportation sector United States","3705","billion btu"
"1973","coal consumed by the transportation sector United States","2633","billion btu"
"1974","coal consumed by the transportation sector United States","1801","billion btu"
"1975","coal consumed by the transportation sector United States","542","billion btu"
"1976","coal consumed by the transportation sector United States","273","billion btu"
"1977","coal consumed by the transportation sector United States","204","billion btu"
"1978","coal consumed by the transportation sector United States","0","billion btu"
"1979","coal consumed by the transportation sector United States","0","billion btu"
"1980","coal consumed by the transportation sector United States","0","billion btu"
"1981","coal consumed by the transportation sector United States","0","billion btu"
"1982","coal consumed by the transportation sector United States","0","billion btu"
"1983","coal consumed by the transportation sector United States","0","billion btu"
"1984","coal consumed by the transportation sector United States","0","billion btu"
"1985","coal consumed by the transportation sector United States","0","billion btu"
"1986","coal consumed by the transportation sector United States","0","billion btu"
"1987","coal consumed by the transportation sector United States","0","billion btu"
"1988","coal consumed by the transportation sector United States","0","billion btu"
"1989","coal consumed by the transportation sector United States","0","billion btu"
"1990","coal consumed by the transportation sector United States","0","billion btu"
"1991","coal consumed by the transportation sector United States","0","billion btu"
"1992","coal consumed by the transportation sector United States","0","billion btu"
"1993","coal consumed by the transportation sector United States","0","billion btu"
"1994","coal consumed by the transportation sector United States","0","billion btu"
"1995","coal consumed by the transportation sector United States","0","billion btu"
"1996","coal consumed by the transportation sector United States","0","billion btu"
"1997","coal consumed by the transportation sector United States","0","billion btu"
"1998","coal consumed by the transportation sector United States","0","billion btu"
"1999","coal consumed by the transportation sector United States","0","billion btu"
"2000","coal consumed by the transportation sector United States","0","billion btu"
"2001","coal consumed by the transportation sector United States","0","billion btu"
"2002","coal consumed by the transportation sector United States","0","billion btu"
"2003","coal consumed by the transportation sector United States","0","billion btu"
"2004","coal consumed by the transportation sector United States","0","billion btu"
"2005","coal consumed by the transportation sector United States","0","billion btu"
"2006","coal consumed by the transportation sector United States","0","billion btu"
"2007","coal consumed by the transportation sector United States","0","billion btu"
"2008","coal consumed by the transportation sector United States","0","billion btu"
"2009","coal consumed by the transportation sector United States","0","billion btu"
"2018","coal consumed by the transportation sector United States","0","billion btu"
"2018","coal consumed by the transportation sector Tennessee","0","billion btu"
"2013","coal consumed by the transportation sector Tennessee","0","billion btu"
"2014","coal consumed by the transportation sector Tennessee","0","billion btu"
"2014","coal consumed by the transportation sector United States","0","billion btu"
"2015","coal consumed by the transportation sector United States","0","billion btu"
"2010","coal consumed by the transportation sector Tennessee","0","billion btu"
"2017","coal consumed by the transportation sector United States","0","billion btu"
"2015","coal consumed by the transportation sector Tennessee","0","billion btu"
"2017","coal consumed by the transportation sector Tennessee","0","billion btu"
"2010","coal consumed by the transportation sector United States","0","billion btu"
"2011","coal consumed by the transportation sector Tennessee","0","billion btu"
"2011","coal consumed by the transportation sector United States","0","billion btu"
"2012","coal consumed by the transportation sector Tennessee","0","billion btu"
"2012","coal consumed by the transportation sector United States","0","billion btu"
"2016","coal consumed by the transportation sector United States","0","billion btu"
"2016","coal consumed by the transportation sector Tennessee","0","billion btu"
"2019","coal consumed by the transportation sector United States","0","billion btu"
"2019","coal consumed by the transportation sector Tennessee","0","billion btu"
"2020","coal consumed by the transportation sector Tennessee","0","billion btu"
"2020","coal consumed by the transportation sector United States","0","billion btu"
"2018","distillate fuel oil consumed by the transportation sector United States","6554711","billion btu"
"2013","distillate fuel oil consumed by the transportation sector United States","5898360","billion btu"
"1960","distillate fuel oil consumed by the transportation sector Tennessee","16975","billion btu"
"1961","distillate fuel oil consumed by the transportation sector Tennessee","18038","billion btu"
"1962","distillate fuel oil consumed by the transportation sector Tennessee","22277","billion btu"
"1963","distillate fuel oil consumed by the transportation sector Tennessee","27296","billion btu"
"1964","distillate fuel oil consumed by the transportation sector Tennessee","27157","billion btu"
"1965","distillate fuel oil consumed by the transportation sector Tennessee","25318","billion btu"
"1966","distillate fuel oil consumed by the transportation sector Tennessee","31240","billion btu"
"1967","distillate fuel oil consumed by the transportation sector Tennessee","28621","billion btu"
"1968","distillate fuel oil consumed by the transportation sector Tennessee","36988","billion btu"
"1969","distillate fuel oil consumed by the transportation sector Tennessee","38502","billion btu"
"1970","distillate fuel oil consumed by the transportation sector Tennessee","41875","billion btu"
"1971","distillate fuel oil consumed by the transportation sector Tennessee","44646","billion btu"
"1972","distillate fuel oil consumed by the transportation sector Tennessee","55337","billion btu"
"1973","distillate fuel oil consumed by the transportation sector Tennessee","60042","billion btu"
"1974","distillate fuel oil consumed by the transportation sector Tennessee","62016","billion btu"
"1975","distillate fuel oil consumed by the transportation sector Tennessee","61928","billion btu"
"1976","distillate fuel oil consumed by the transportation sector Tennessee","66763","billion btu"
"1977","distillate fuel oil consumed by the transportation sector Tennessee","73639","billion btu"
"1978","distillate fuel oil consumed by the transportation sector Tennessee","83642","billion btu"
"1979","distillate fuel oil consumed by the transportation sector Tennessee","94610","billion btu"
"1980","distillate fuel oil consumed by the transportation sector Tennessee","76865","billion btu"
"1981","distillate fuel oil consumed by the transportation sector Tennessee","81252","billion btu"
"1982","distillate fuel oil consumed by the transportation sector Tennessee","79610","billion btu"
"1983","distillate fuel oil consumed by the transportation sector Tennessee","86992","billion btu"
"1984","distillate fuel oil consumed by the transportation sector Tennessee","89242","billion btu"
"1985","distillate fuel oil consumed by the transportation sector Tennessee","88939","billion btu"
"1986","distillate fuel oil consumed by the transportation sector Tennessee","98216","billion btu"
"1987","distillate fuel oil consumed by the transportation sector Tennessee","103611","billion btu"
"1988","distillate fuel oil consumed by the transportation sector Tennessee","108529","billion btu"
"1989","distillate fuel oil consumed by the transportation sector Tennessee","115815","billion btu"
"1990","distillate fuel oil consumed by the transportation sector Tennessee","115668","billion btu"
"1991","distillate fuel oil consumed by the transportation sector Tennessee","108465","billion btu"
"1992","distillate fuel oil consumed by the transportation sector Tennessee","107094","billion btu"
"1993","distillate fuel oil consumed by the transportation sector Tennessee","107603","billion btu"
"1994","distillate fuel oil consumed by the transportation sector Tennessee","106114","billion btu"
"1995","distillate fuel oil consumed by the transportation sector Tennessee","120488","billion btu"
"1996","distillate fuel oil consumed by the transportation sector Tennessee","124922","billion btu"
"1997","distillate fuel oil consumed by the transportation sector Tennessee","123237","billion btu"
"1998","distillate fuel oil consumed by the transportation sector Tennessee","130566","billion btu"
"1999","distillate fuel oil consumed by the transportation sector Tennessee","126460","billion btu"
"2000","distillate fuel oil consumed by the transportation sector Tennessee","135540","billion btu"
"2001","distillate fuel oil consumed by the transportation sector Tennessee","139524","billion btu"
"2002","distillate fuel oil consumed by the transportation sector Tennessee","150837","billion btu"
"2004","distillate fuel oil consumed by the transportation sector Tennessee","164449","billion btu"
"2005","distillate fuel oil consumed by the transportation sector Tennessee","171535","billion btu"
"2006","distillate fuel oil consumed by the transportation sector Tennessee","172315","billion btu"
"2007","distillate fuel oil consumed by the transportation sector Tennessee","175770","billion btu"
"2013","distillate fuel oil consumed by the transportation sector Tennessee","143976","billion btu"
"1960","distillate fuel oil consumed by the transportation sector United States","891941","billion btu"
"1961","distillate fuel oil consumed by the transportation sector United States","891644","billion btu"
"1962","distillate fuel oil consumed by the transportation sector United States","965274","billion btu"
"1963","distillate fuel oil consumed by the transportation sector United States","1067366","billion btu"
"1964","distillate fuel oil consumed by the transportation sector United States","1133358","billion btu"
"1965","distillate fuel oil consumed by the transportation sector United States","1093303","billion btu"
"1966","distillate fuel oil consumed by the transportation sector United States","1163655","billion btu"
"1967","distillate fuel oil consumed by the transportation sector United States","1157939","billion btu"
"1968","distillate fuel oil consumed by the transportation sector United States","1392015","billion btu"
"1969","distillate fuel oil consumed by the transportation sector United States","1498495","billion btu"
"1970","distillate fuel oil consumed by the transportation sector United States","1568925","billion btu"
"1971","distillate fuel oil consumed by the transportation sector United States","1700565","billion btu"
"1972","distillate fuel oil consumed by the transportation sector United States","1941116","billion btu"
"1973","distillate fuel oil consumed by the transportation sector United States","2222022","billion btu"
"1974","distillate fuel oil consumed by the transportation sector United States","2202345","billion btu"
"1975","distillate fuel oil consumed by the transportation sector United States","2121012","billion btu"
